code_departement;id_prelevement;parametre_code_siseeaux;code_parametre;nom_parametre;nom_parametre_court;nom_parametre_web;qualite_parametre;analyse_in_situ;qualite_resultat_analyse;unite_code_siseeaux;unite;limite_qualite;reference_qualite;resultat;cas_parametre;reference_analyse;type_fichier;fichier_source;code_insee_commune;nom_commune;quartier;code_reseau;nom_reseau;debut_alimentation;code_reseau_amont;nom_reseau_amont;pourcentage_debit;date_prelevement;heure_prelevement;conclusion_prelevement;uge_lib;distributeur_lib;moa_lib;plv_conformite_bacterio;plv_conformite_chimique;plv_conformite_ref_bact;plv_conformite_ref_chim;source_donnee;ingestion_date;code_reseau_plv;code_insee_commune_plv;date_prelevement_plv;heure_prelevement_plv;conclusion_prelevement_plv;plv_conformite_bacterio_plv;plv_conformite_chimique_plv;uge_lib_plv;distributeur_lib_plv;moa_lib_plv;nom_reseau_com;debut_alimentation_com;record_id;quality_flag;processed_date
1;100143728;ASP;6489.0;ASPECT (QUALITATIF);Aspect (qualitatif);;O;L;Aspect normal;SANS OBJET;X;;;0.0;;100152794.0;RESULTATS;DIS_RESULT_2025.txt;;ANGLEFORT;;nan;nan;;;;;;;nan;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648;1000260;1010;2025-01-30;10h48;Eau d'alimentation conforme aux limites de qualitÃ© et non conforme aux rÃ©fÃ©rences de qualitÃ©.;C;C;ANGLEFORT;MAIRIE DE ANGLEFORT;MAIRIE DE ANGLEFORT;;;bf84657c;OK;2026-05-06T09:24:10.646520
1;100143728;BSIR;1042.0;BACT. ET SPORES SULFITO-RÉDU./100ML;Bact. et spores sulfito-rÃ©du./100ml;;N;L;<1;n/(100mL);226;;<=0 n/(100mL);0.0;;100152794.0;RESULTATS;DIS_RESULT_2025.txt;;ANGLEFORT;;nan;nan;;;;;;;nan;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648;1000260;1010;2025-01-30;10h48;Eau d'alimentation conforme aux limites de qualitÃ© et non conforme aux rÃ©fÃ©rences de qualitÃ©.;C;C;ANGLEFORT;MAIRIE DE ANGLEFORT;MAIRIE DE ANGLEFORT;;;75b61ff2;OK;2026-05-06T09:24:10.646520
1;100143728;CDT25;1303.0;CONDUCTIVITÉ À 25°C;ConductivitÃ© Ã  25Â°C;;N;L;332;ÂµS/cm;147;;>=200 et <=1100 ÂµS/cm;332.0;;100152794.0;RESULTATS;DIS_RESULT_2025.txt;;ANGLEFORT;;nan;nan;;;;;;;nan;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648;1000260;1010;2025-01-30;10h48;Eau d'alimentation conforme aux limites de qualitÃ© et non conforme aux rÃ©fÃ©rences de qualitÃ©.;C;C;ANGLEFORT;MAIRIE DE ANGLEFORT;MAIRIE DE ANGLEFORT;;;1f21faa7;OK;2026-05-06T09:24:10.646520
1;100143728;CL2LIB;1398.0;CHLORE LIBRE;Chlore libre;;N;T;<0,05;mg(Cl2)/L;165;;;0.0;;;RESULTATS;DIS_RESULT_2025.txt;;ANGLEFORT;;nan;nan;;;;;;;nan;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648;1000260;1010;2025-01-30;10h48;Eau d'alimentation conforme aux limites de qualitÃ© et non conforme aux rÃ©fÃ©rences de qualitÃ©.;C;C;ANGLEFORT;MAIRIE DE ANGLEFORT;MAIRIE DE ANGLEFORT;;;9336c639;OK;2026-05-06T09:24:10.646520
1;100143728;CL2TOT;1399.0;CHLORE TOTAL;Chlore total;;N;T;<0,05;mg(Cl2)/L;165;;;0.0;;;RESULTATS;DIS_RESULT_2025.txt;;ANGLEFORT;;nan;nan;;;;;;;nan;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648;1000260;1010;2025-01-30;10h48;Eau d'alimentation conforme aux limites de qualitÃ© et non conforme aux rÃ©fÃ©rences de qualitÃ©.;C;C;ANGLEFORT;MAIRIE DE ANGLEFORT;MAIRIE DE ANGLEFORT;;;2d5104e6;OK;2026-05-06T09:24:10.646520
1;100143728;COULF;1309.0;COLORATION;Coloration;;N;L;<5;mg(Pt)/L;178;;<=15 mg(Pt)/L;0.0;;100152794.0;RESULTATS;DIS_RESULT_2025.txt;;ANGLEFORT;;nan;nan;;;;;;;nan;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648;1000260;1010;2025-01-30;10h48;Eau d'alimentation conforme aux limites de qualitÃ© et non conforme aux rÃ©fÃ©rences de qualitÃ©.;C;C;ANGLEFORT;MAIRIE DE ANGLEFORT;MAIRIE DE ANGLEFORT;;;2806146a;OK;2026-05-06T09:24:10.646520
1;100143728;CTF;1447.0;BACTÉRIES COLIFORMES /100ML-MS;BactÃ©ries coliformes /100ml-MS;;N;L;2;n/(100mL);226;;<=0 n/(100mL);2.0;;100152794.0;RESULTATS;DIS_RESULT_2025.txt;;ANGLEFORT;;nan;nan;;;;;;;nan;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648;1000260;1010;2025-01-30;10h48;Eau d'alimentation conforme aux limites de qualitÃ© et non conforme aux rÃ©fÃ©rences de qualitÃ©.;C;C;ANGLEFORT;MAIRIE DE ANGLEFORT;MAIRIE DE ANGLEFORT;;;676ec409;OK;2026-05-06T09:24:10.646520
1;100143728;ECOLI;1449.0;ESCHERICHIA COLI /100ML - MF;Escherichia coli /100ml - MF;;N;L;<1;n/(100mL);226;<=0 n/(100mL);;0.0;;100152794.0;RESULTATS;DIS_RESULT_2025.txt;;ANGLEFORT;;nan;nan;;;;;;;nan;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648;1000260;1010;2025-01-30;10h48;Eau d'alimentation conforme aux limites de qualitÃ© et non conforme aux rÃ©fÃ©rences de qualitÃ©.;C;C;ANGLEFORT;MAIRIE DE ANGLEFORT;MAIRIE DE ANGLEFORT;;;e259197a;OK;2026-05-06T09:24:10.646520
1;100143728;GT22_68;5440.0;BACT. AÉR. REVIVIFIABLES À 22°-68H;Bact. aÃ©r. revivifiables Ã  22Â°-68h;;N;L;<1;n/mL;222;;;0.0;;100152794.0;RESULTATS;DIS_RESULT_2025.txt;;ANGLEFORT;;nan;nan;;;;;;;nan;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648;1000260;1010;2025-01-30;10h48;Eau d'alimentation conforme aux limites de qualitÃ© et non conforme aux rÃ©fÃ©rences de qualitÃ©.;C;C;ANGLEFORT;MAIRIE DE ANGLEFORT;MAIRIE DE ANGLEFORT;;;ebdbe898;OK;2026-05-06T09:24:10.646520
1;100143728;GT36_44;5441.0;BACT. AÉR. REVIVIFIABLES À 36°-44H;Bact. aÃ©r. revivifiables Ã  36Â°-44h;;N;L;<1;n/mL;222;;;0.0;;100152794.0;RESULTATS;DIS_RESULT_2025.txt;;ANGLEFORT;;nan;nan;;;;;;;nan;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648;1000260;1010;2025-01-30;10h48;Eau d'alimentation conforme aux limites de qualitÃ© et non conforme aux rÃ©fÃ©rences de qualitÃ©.;C;C;ANGLEFORT;MAIRIE DE ANGLEFORT;MAIRIE DE ANGLEFORT;;;fc1f38aa;OK;2026-05-06T09:24:10.646520
